"uid","fullName","plan","rewardBalance"
"306LfidoKtXNUJH1NyGr2k7MeQ03","saeed","economy",350
"3H8eLWZZDwRsHvB4jgemxpjMaO92","Saeed","economy",0
"80kmTpvIElPOiscUBLretsxXRnZ2","Bznesy","economy",0
"8JhdO1tzM0WpwU1pktZStx1nl7i1","bznesy","economy",0
"AAUjmrI5pjcSr6hijBmB41DZjt83","saeed","economy",0
"B5YMlw2ZvUQZyph5nWz7NJ1Y8RJ2","Saeed","economy",0
"BTf6RuXMsjf728musiyhSlr8o5B2","بزنسي","economy",0
"ClnpZtJabvdZbMEyd849StyWaJy1","Saeed","economy",0
"Di0P3oEWOgbPJTi4OqzIUUoFoHP2","bznesy","economy",350
"DrNNHU2F0DTlwPJbppGjV3KTaXD3","bznesy","economy",0
"EQKOq2JG5YRK1dOCsnJWMLXRH153","saeed","economy",350
"G6QbEGnwGIMQ8tZWt8Jqhu3xY8o1","بزنسي","economy",0
"IrSJ2oC62xQT67BXIZ7UdFwFsKT2","Saeed","economy",0
"LAV4frU8MENO6qvdn4ZrvH2RrXs2","Admin","economy",1700
"M3ALJHfKeYQQxdx7Rik8qIYdxe72","Bznesy","economy",500
"R8VSHxQKxsh8h7HftSjoMGzMdY22","bznesy","economy",350
"RQwpsE4USeWTNixZjRQIkdlmM3i2","bznesy","economy",0
"Rv1vzN5mbogZTpldge2cFGgYsOM2","bzbz","economy",0
"TvNfeTIHOZfgqPLDLN1UxMDmAQB3","Saeed","economy",0
"UFd0MdpECsb9UmQWFBY7ehK99Ql1","s11053647","economy",15200
"UR4BQpS0kpXYLirvoEOGSLbNVqz2","Fahad alghaith","economy",4100
"UkpHU0MYsmfLtJF5LAnNfeVcIVr1","Saeed","economy",0
"V8nzPGo54FXdULUyQfraGA7htko2","saeed","economy",0
"VA0Rmp9syifZLCmioeI8bbQcL3B2","بزنسي","economy",0
"XDM26m8tWocRXYKaMWf5fsYQuVf1","bzb","economy",350
"XK753YAEtlWFGUu10s1RKW1rKwJ2","saeed","economy",0
"ZvW0IHCHREhlsb0WwnGUpb2hBE22","Saeed","economy",0
"abc123","Saeed Alshammari","economy",0
"al1m1ckkiXPdkRao6wVjnue4KyU2","saeed","economy",350
"bzKueF8ZZqUBs4jlUsn8hHUlYdC2","Bznesy","economy",2900
"iHaawamZsBhyQPRmoq2v3Vyc8sm1","bznesy","economy",0
"iL6FrLBAoiVDhhdvDb5UaHGOIPb2","SAEED","first",66000
"jqGbv7tNMRRRy8BjpSpow0E6Lmu2","bzbz","economy",0
"jzDRrMpPW6bcuC624aDvDsYyBl62","saeed","economy",350
"knylMbDyRYbWSgj9GyVheRfU7f92","Saeed","economy",0
"lIsZqjhlKMQaTLUHEop3daFVGBn2","SAeed","economy",0
"oaY8dlLMgccgY5NhdhQHiYrbHN73","Fahad","first",48500
"pVQTdYNBz2ctk5mLs2u0d1Vky9p1","bznesy","economy",0
"rP3dnvVuh7O8PFBmkX3eEE0mbqE2","bznesy","economy",350
"rozqX4GC1uWLw2rQm9ZGdiLSZdJ3","bznesy","economy",0
"user1UID","Test User One",,5000
"user2UID","Test User Two",,3000
"yo1GXuvLLufREJShanrCGgLfoKE2","Saeed","economy",0
"yytMvyexqIOrrk9iunxiZoOfD4A3","Bznesy ","economy",2900
"zTay9izSrbcpGL9hxxev","","economy",0
